Query,Category
"Hi, mera order abhi tak deliver nahi hua",Delivery Delay
Where can I track my order?,Order Tracking
I received a damaged product,Product Issue
Refund ka process kya hai?,Refund Request
Payment failed but amount deducted,Payment Failure
Order dispatch hua hai ya nahi?,Order Tracking
Delivery expected date cross ho gayi,Delivery Delay
Product size sahi nahi hai,Product Issue
I want to cancel my order,Refund Request
Subscription kaise cancel kare?,Subscription Issue
Order tracking link kaam nahi kar raha,Order Tracking
Delivery boy ne call nahi kiya,Delivery Delay
Product quality thodi low lag rahi hai,Product Issue
Refund kab tak milega?,Refund Request
Payment error aa raha hai baar baar,Payment Failure
How to use this product?,General Query
Order status update nahi ho raha,Order Tracking
Delivery bahut late ho gayi hai,Delivery Delay
Product ka color different hai,Product Issue
Refund request raise kar di hai,Refund Request
Payment karne ke baad page crash ho gaya,Payment Failure
Is product pe warranty hai kya?,General Query
Order confirm hua hai ya nahi?,Order Tracking
Delivery ka exact time batao,Delivery Delay
Product ka seal open tha,Product Issue
Refund initiate ho gaya kya?,Refund Request
Payment successful dikh raha hai par order nahi bana,Payment Failure
Is product ka size chart milega?,General Query
Tracking details nahi mil rahi,Order Tracking
Delivery delay ka reason kya hai?,Delivery Delay
Product defective nikla,Product Issue
Refund amount credit nahi hua,Refund Request
Payment method change kar sakte hain?,Payment Failure
Kya COD available hai?,General Query
Order kab dispatch hoga?,Order Tracking
Delivery expected kab tak hai?,Delivery Delay
Product use karne me issue aa raha hai,Product Issue
Refund status check karna hai,Refund Request
Payment decline ho raha hai,Payment Failure
Product original hai ya nahi?,General Query
Order details update karni hai,Order Tracking
Delivery address change kar sakte hain?,Delivery Delay
Product missing parts ke saath aaya,Product Issue
Refund request cancel kaise kare?,Refund Request
Payment gateway slow hai,Payment Failure
Product ka dosage kya hai?,General Query
Order cancel karna hai urgent,Refund Request
Delivery late hone wali hai kya?,Delivery Delay
Product packaging thodi damaged thi,Product Issue
Tracking number invalid dikha raha hai,Order Tracking
